Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Label,Population,Revenue_Per_Month,Charge_Evolution,Refund_Rate,Has_Been_Refunded,Billing_Complexity,Services_Count,Streaming_Count,Security_Score,Full_Protection_Score,Support_Profile,Service_Diversity_Score,Referral_Rate,Heavy_Internet_User,Internet_Value,Contract_Encoded,Engagement_Score,Contract_Risk,Contract_Tenure_Mismatch,Locked_Value,Tenure_Segment,Vulnerable_Senior,Family_Profile,Digital_Profile,High_Value_At_Risk,NPS_Label
Female,53,No,No,No,No,0,Hume,No,0,1,Offer E,Yes,42.09,No,Yes,Fiber Optic,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,70.15,70.15,0.0,0,42.09,112.24000000000001,1,Yes,93,112.24000000000001,-42.09,0.0,0,1,1,0,0,0,0,1,0.0,0,27.0,0,0,1,0,0,0,0,0,0,1,0
Male,54,No,No,Yes,No,0,Los Angeles,Yes,5,12,No Offer,Yes,45.15,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,No,Mailed Check,26.4,314.95,0.0,0,541.8,856.75,4,No,32562,71.39583333333333,-44.99583333333333,0.0,0,1,1,0,0,0,0,1,0.4166666666666667,0,0.0,1,12,0,0,1,0,0,0,0,0,1
Female,74,No,Yes,No,No,0,Klamath,No,0,63,Offer B,Yes,41.8,Yes,Yes,Fiber Optic,16,No,No,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.6,5538.8,0.0,0,2633.3999999999996,8172.2,4,No,1215,129.7174603174603,-40.11746031746031,0.0,0,1,5,2,1,1,0,5,0.0,0,48.0,2,126,0,0,10,3,1,0,1,0,1
Female,69,No,Yes,Yes,No,0,Dana Point,Yes,1,1,No Offer,Yes,7.74,No,Yes,DSL,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,46.0,46.0,0.0,0,7.74,53.74,1,Yes,27730,53.74,-7.740000000000002,0.0,0,1,1,0,0,0,0,1,1.0,0,19.0,0,0,1,0,0,0,1,0,0,0,0
Female,59,No,No,Yes,Yes,3,Orick,Yes,4,72,No Offer,Yes,48.29,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,24.05,1709.15,0.0,0,3476.88,5186.030000000001,4,No,494,72.02819444444445,-47.978194444444455,0.0,0,1,1,0,0,0,0,1,0.05555555555555555,0,0.0,2,144,0,0,2,3,0,1,0,0,1
Female,55,No,No,Yes,No,0,Castaic,Yes,3,71,No Offer,Yes,32.13,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,24.75,1836.9,0.0,0,2281.23,4118.13,3,No,22177,58.0018309859155,-33.2518309859155,0.0,0,1,1,0,0,0,0,1,0.04225352112676056,0,0.0,2,142,0,0,2,3,0,0,0,0,0
Male,33,No,No,No,No,0,Redding,No,0,52,Offer B,Yes,5.42,Yes,Yes,Fiber Optic,22,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.05,5364.8,46.67,0,281.84,5599.97,4,No,41476,107.69173076923077,-4.641730769230776,0.008333973217713666,1,2,7,3,2,2,0,7,0.0,0,66.0,0,0,0,1,0,3,0,0,1,0,1
Male,31,No,No,No,No,0,Oceanside,No,0,46,No Offer,Yes,22.13,Yes,Yes,Fiber Optic,22,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,94.9,4422.95,24.08,0,1017.9799999999999,5416.849999999999,4,No,52895,117.75760869565217,-22.85760869565216,0.004445388002252232,1,2,5,1,2,2,0,5,0.0,0,66.0,1,46,0,0,5,2,0,0,0,0,1
Male,40,No,No,No,No,0,Sugarloaf,No,0,29,Offer C,Yes,49.52,No,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.1,529.5,0.0,0,1436.0800000000002,1965.5800000000002,4,No,1834,67.77862068965518,-48.67862068965518,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,1,29,0,0,0,2,0,0,0,0,1
Female,31,No,No,No,No,0,Oceanside,No,0,8,Offer E,Yes,31.02,No,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,19.2,161.95,0.0,0,248.16,410.11,4,No,98239,51.26375,-32.06375,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,1,8,0,0,0,0,0,0,0,0,1
